RNUM,MEDIATITLE,PLACENAME,ADDRESS
1071,경우의 수,임진고택,제주특별자치도 제주시 구좌읍 상도로 16-13
1072,경우의 수,소심한책방,제주특별자치도 제주시 구좌읍 종달동길 29-6
1073,경우의 수,용눈이오름,제주특별자치도 제주시 구좌읍 종달리 산 38
1074,경우의 수,술의 식물원,제주특별자치도 제주시 구좌읍 중산간동로 2253
1075,경우의 수,책방소리소문,제주특별자치도 제주시 한경면 저지동길 8-31
1076,경우의 수,서쪽가게,제주특별자치도 제주시 한림읍 한림로 372-7
1085,경찰수업,블루부코,대전광역시 동구 동광장로 16
1089,경찰수업,한국기술교육대학교 제1캠퍼스,충청남도 천안시 동남구 병천면 충절로 1600
1093,계룡선녀전,밀양역,경상남도 밀양시 중앙로 62
1094,계룡선녀전,함양 함화루,경상남도 함양군 함양읍 운림리
1095,계룡선녀전,문경새재촬영장 (오픈세트장),경상북도 문경시 문경읍 새재로 1037
1096,계룡선녀전,부석사,경상북도 영주시 부석면 부석사로 345
1109,계룡선녀전,목포역,전라남도 목포시 영산로 98
1110,계룡선녀전,합동직업소개소,전라남도 목포시 해안로249번길 3
1111,계룡선녀전,신원사,충청남도 공주시 계룡면 신원사동길 1
1112,계룡선녀전,부소산성,충청남도 부여군 부여읍 부소로 15
1114,고교처세왕,남이섬,강원도 춘천시 남산면 남이섬길 1
1184,공작도시,뮤지엄 산,강원도 원주시 지정면 오크밸리2길 260
1204,공항 가는 길,최수아의 집,제주특별자치도 제주시 구좌읍 종달로7길 5
1205,공항 가는 길,한울랜드,제주특별자치도 제주시 서해안로 671
